City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,okahandja,-21.9833,16.9167,19.08,36,65,0.72,NA,1683168464
1,tiksi,71.6872,128.8694,-0.88,85,54,12.47,RU,1683168069
2,daru,-9.0763,143.2092,29.35,72,54,5.03,PG,1683168326
3,albany,42.6001,-73.9662,7.87,90,100,1.98,US,1683167997
4,ribeira grande,38.5167,-28.7,17.1,91,72,5.81,PT,1683168071
5,waitangi,-43.9535,-176.5597,17.12,84,46,4.02,NZ,1683168066
6,stanley,54.868,-1.6985,6.5,85,75,3.6,GB,1683168167
7,vorgashor,67.5833,63.95,-0.8,93,100,2.75,RU,1683168248
8,havre,49.5833,0.3333,12.22,71,100,4.63,FR,1683168471
9,ushuaia,-54.8,-68.3,7.81,76,75,9.77,AR,1683168079
10,peterhead,57.5058,-1.7981,8.22,88,100,6.16,GB,1683168086
11,al bawiti,28.3492,28.8659,20.02,31,0,4.25,EG,1683168089
12,saint-philippe,-21.3585,55.7679,20.77,83,73,4.39,RE,1683168076
13,port-aux-francais,-49.35,70.2167,7.22,97,99,9.42,TF,1683168068
14,hawaiian paradise park,19.5933,-154.9731,26.73,79,40,5.66,US,1683168083
15,wailua homesteads,22.0669,-159.378,27.24,71,20,6.17,US,1683168125
16,lebu,-37.6167,-73.65,10.48,85,4,7.56,CL,1683168216
17,hamilton,39.1834,-84.5333,10.35,75,0,3.09,US,1683167903
18,jamestown,42.097,-79.2353,6.77,93,100,2.06,US,1683168060
19,ust-nera,64.5667,143.2,0.82,77,97,2.65,RU,1683168159
20,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,57,75,6,RU,1683168143
21,kachkanar,58.7,59.4948,13.48,76,100,2.35,RU,1683168302
22,yellowknife,62.456,-114.3525,15.29,41,75,5.14,CA,1683168008
23,souillac,-20.5167,57.5167,23.21,100,40,1.54,MU,1683168478
24,xiabaishi,26.8153,119.6792,23.96,79,91,1.58,CN,1683168479
25,peruibe,-24.32,-46.9983,20.88,95,16,1.12,BR,1683168233
26,port elizabeth,-33.918,25.5701,14.16,97,0,1.54,ZA,1683168064
27,whitehorse,60.7161,-135.0538,8.43,26,40,5.66,CA,1683168157
28,grytviken,-54.2811,-36.5092,3.11,99,100,4.94,GS,1683168092
29,neryungri,56.6709,124.6491,-0.63,87,100,5.32,RU,1683168482
30,rantauprapat,2.1,99.8333,29.9,70,100,1.3,ID,1683168482
31,vila franca do campo,37.7167,-25.4333,17.23,87,63,5.27,PT,1683168383
32,mejit,10.2753,170.8646,27.18,77,91,7.62,MH,1683168389
33,melfort,52.8667,-104.6177,19.07,19,6,2.57,CA,1683168484
34,punta arenas,-53.15,-70.9167,8.06,81,40,16.46,CL,1683167930
35,deqen,29.9618,90.7188,8.39,45,83,3.21,CN,1683168485
36,mastic beach,40.7668,-72.8521,10.99,83,99,3.58,US,1683168486
37,longyearbyen,78.2186,15.6401,-5.09,86,75,1.54,SJ,1683168077
38,tura,25.5198,90.2201,23.29,83,64,0.64,IN,1683168292
39,turinsk,58.0458,63.696,15.92,50,81,4.44,RU,1683168487
40,prado,-17.3411,-39.2208,24,88,0,2.58,BR,1683168488
41,hadibu,12.65,54.0333,28.62,78,100,1.79,YE,1683168197
42,kaiapoi,-43.3783,172.6401,20.87,72,100,4.12,NZ,1683168490
43,ta`u,-14.2336,-169.5144,27.49,78,100,5.54,AS,1683168227
44,kununurra,-15.7667,128.7333,29.99,28,0,5.14,AU,1683168357
45,kruisfontein,-34.0033,24.7314,12.71,81,0,2.85,ZA,1683168492
